id,title,year,venue_or_status,theme,evidence_level,selection,key_result_or_role,applicability_to_fixed_toolchain,source_url
1,"How Do AI Agents Spend Your Money? Analyzing and Predicting Token Consumption in Agentic Coding Tasks",2026,"arXiv:2604.22750","token behavior",A,core,"input dominates; repeated file actions correlate with high-cost failures",high,"https://arxiv.org/abs/2604.22750"
2,"Tokenomics: Quantifying Where Tokens Are Used in Agentic Software Engineering",2026,"MSR 2026 / arXiv","phase cost map",A,core,"ChatDev review phase 59.4%; input 53.9% in 30-task sample",medium,"https://arxiv.org/abs/2601.14470"
3,"EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents",2026,"arXiv:2601.05777","early termination",A,core,"average input-token reduction 29.9%; max resolution loss 0.2pp",medium,"https://arxiv.org/abs/2601.05777"
4,"SWE-Pruner: Self-Adaptive Context Pruning for Coding Agents",2026,"arXiv:2601.16746","context pruning",A,core,"23-38% token reduction on SWE-bench with slight success improvement",medium,"https://arxiv.org/abs/2601.16746"
5,"Runtime-Structured Task Decomposition for Agentic Coding Systems",2026,"ACM CAIS 2026 / arXiv","selective retry",A,core,"static decomposition can cost more; selective retry lowers retry tokens",medium,"https://arxiv.org/abs/2605.15425"
6,"PaT: Planning-after-Trial for Efficient Test-Time Code Generation",2026,"ACL 2026","adaptive planning",A,core,"failure-triggered planning advances cost-performance frontier",medium,"https://aclanthology.org/2026.acl-long.1703/"
7,"Reason-Code: Reliable Code Generation via Test-Driven Monte Carlo Tree Search",2026,"ACL 2026 Industry","conditional budget",A,core,"adaptive execution-guided search reaches strong results near 1.5x greedy cost",medium,"https://aclanthology.org/2026.acl-industry.30/"
8,"SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering",2024,"arXiv:2405.15793","tool interface",B,core,"simple actions concise feedback guardrails and history collapsing",medium,"https://arxiv.org/abs/2405.15793"
9,"Agentless: Demystifying LLM-based Software Engineering Agents",2024,"arXiv:2407.01489","fixed workflow",A,core,"localization-repair-validation at low reported cost",high,"https://arxiv.org/abs/2407.01489"
10,"PatchPilot: A Stable and Cost-Efficient Agentic Patching Framework",2025,"ICML 2025 / arXiv","rule-based patching",A,core,"five-stage workflow under about one dollar per benchmark instance",high,"https://arxiv.org/abs/2502.02747"
11,"RepoCoder: Repository-Level Code Completion Through Iterative Retrieval and Generation",2023,"EMNLP 2023","iterative retrieval",B,core,"two retrieval-generation rounds often beat vanilla RAG",high,"https://arxiv.org/abs/2303.12570"
12,"Iterative Refinement of Project-Level Code Context for Precise Code Generation with Compiler Feedback",2024,"Findings of ACL 2024","compiler-guided context",B,core,"compiler feedback retrieves missing project context",high,"https://aclanthology.org/2024.findings-acl.138/"
13,"Human-In-the-Loop Software Development Agents",2024,"arXiv:2411.12924","human feedback",B,core,"Atlassian deployment; input detail matters; code quality remains concern",high,"https://arxiv.org/abs/2411.12924"
14,"What Makes a GitHub Issue Ready for Copilot?",2025,"arXiv:2512.21426","task specification",B,core,"short scoped self-contained issues with guidance associate with merge",high,"https://arxiv.org/abs/2512.21426"
15,"Ambig-SWE: Interactive Agents to Overcome Underspecificity in Software Engineering",2026,"ICLR 2026","clarification",B,core,"targeted interaction improves success but not demonstrated efficiency",high,"https://arxiv.org/abs/2502.13069"
16,"MASAI: Modular Architecture for Software-engineering AI Agents",2024,"arXiv:2406.11638","modular agents",B,support,"modular subagents reduce long monolithic trajectories but add coordination",low,"https://arxiv.org/abs/2406.11638"
17,"LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models",2023,"EMNLP 2023 / arXiv","prompt compression",C,support,"general prompt compression up to high ratios on non-agent tasks",low,"https://arxiv.org/abs/2310.05736"
18,"LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression",2023,"arXiv:2310.06839","long-context compression",C,support,"long-context compression can reduce latency and cost",low,"https://arxiv.org/abs/2310.06839"
19,"Prompt Compression in the Wild: Measuring Latency Rate Adherence and Quality for Faster LLM Inference",2026,"arXiv:2604.02985","compression break-even",C,support,"compression helps only in a suitable operating window",low,"https://arxiv.org/abs/2604.02985"
20,"On the Impacts of Contexts on Repository-Level Code Generation",2025,"Findings of NAACL 2025","dependency context",B,support,"full dependency context performs best; smaller context can mislead",medium,"https://aclanthology.org/2025.findings-naacl.82/"
21,"Enhancing Repository-Level Code Generation with Integrated Contextual Information",2024,"arXiv:2406.03283","type context",B,support,"relevant code plus type dependencies improves pass rate",medium,"https://arxiv.org/abs/2406.03283"
22,"CodeRAG: Finding Relevant and Necessary Knowledge for Retrieval-Augmented Repository-Level Code Completion",2025,"EMNLP 2025","retrieval reranking",B,support,"query construction multi-path retrieval and reranking",medium,"https://aclanthology.org/2025.emnlp-main.1187/"
23,"What to Retrieve for Effective Retrieval-Augmented Code Generation? An Empirical Study and Beyond",2025,"arXiv:2503.20589","retrieval content",B,support,"in-context code and API info help; similar snippets can add noise",high,"https://arxiv.org/abs/2503.20589"
24,"Think-Search-Patch: A Retrieval-Augmented Reasoning Framework for Repository-Level Code Repair",2025,"EMNLP 2025 Industry","repository repair",B,support,"decompose search query then retrieve key snippets and patch",medium,"https://aclanthology.org/2025.emnlp-industry.109/"
25,"Knowledge Graph Based Repository-Level Code Generation",2025,"arXiv:2505.14394","structural retrieval",B,support,"repository graph captures inter-file dependencies",low,"https://arxiv.org/abs/2505.14394"
26,"A3-CodGen: A Repository-Level Code Generation Framework",2023,"arXiv:2312.05772","context types",B,support,"local global and third-party context should be distinguished",medium,"https://arxiv.org/abs/2312.05772"
27,"Syntax-Aware Retrieval Augmented Code Generation",2023,"Findings of EMNLP 2023","retrieval noise",B,support,"syntax constraints reduce retrieval noise",low,"https://aclanthology.org/2023.findings-emnlp.90/"
28,"Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents",2026,"arXiv:2603.26233","clarification policy",B,support,"uncertainty-aware scaffold saves questions on simple tasks",medium,"https://arxiv.org/abs/2603.26233"
29,"CodeScout: Contextual Problem Statement Enhancement for Software Agents",2026,"arXiv:2603.05744","problem enhancement",B,support,"lightweight repository pre-exploration enriches underspecified tasks",medium,"https://arxiv.org/abs/2603.05744"
30,"SWE-bench: Can Language Models Resolve Real-World GitHub Issues?",2023,"ICLR 2024 / arXiv","benchmark",C,measurement,"repository-level issue-resolution benchmark",low,"https://arxiv.org/abs/2310.06770"
31,"SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks?",2025,"arXiv:2509.16941","benchmark",C,measurement,"long-horizon enterprise-style benchmark",low,"https://arxiv.org/abs/2509.16941"
32,"Saving SWE-Bench: A Benchmark Mutation Approach for Realistic Agent Evaluation",2025,"arXiv:2510.08996","benchmark realism",C,measurement,"formal issue descriptions may overestimate chat-agent performance",medium,"https://arxiv.org/abs/2510.08996"
33,"Dialogue SWE-Bench: A Benchmark for Dialogue-Driven Coding Agents",2026,"arXiv:2606.13995","dialogue benchmark",C,measurement,"evaluates task success and dialogue quality",medium,"https://arxiv.org/abs/2606.13995"
34,"Asuka-Bench: Benchmarking Code Agents on Underspecified User Intent and Multi-Round Refinement",2026,"arXiv:2606.05920","multi-round intent",C,measurement,"50 web tasks with multi-round user feedback",low,"https://arxiv.org/abs/2606.05920"
35,"Coding Agents Are Guessing: Measuring Action-Boundary Violations in Underspecified DevOps Instructions",2026,"arXiv:2607.02294","underspecification safety",C,measurement,"underspecification often causes guessing and overscope",medium,"https://arxiv.org/abs/2607.02294"
36,"Large Language Model-Based Agents for Software Engineering: A Survey",2024,"arXiv:2409.02977","survey",C,background,"taxonomy of 106 SE-agent papers",medium,"https://arxiv.org/abs/2409.02977"
